,Ano de exibição,Título da obra,Gênero,País(es) produtor(es) da obra,Nacionalidade da obra,Empresa distribuidora,Origem da empresa distribuidora,Público no ano de exibição,Renda (R$) no ano de exibição
168,2019,Chuva É Cantoria Na Aldeia Dos Mortos,Ficção,"Brasil, Portugal",Brasileira,Embaúba Filmes,Distribuição Nacional,3815.0,42917.0
169,2019,Chá Com As Damas,Documentário,Reino Unido,Estrangeira,Supo Mungam Films,Distribuição Nacional,2183.0,28337.0
170,2019,Cinderela E O Príncipe Secreto,Animação,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,117.0,2188.0
171,2019,Cinderela Pop,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,476714.0,6433928.0
172,2019,Cine Holliúdy 2 - A Chibata Sideral,Ficção,Brasil,Brasileira,Downtown,Distribuição Nacional,169970.0,2479403.0
173,2019,Cine São Paulo,Documentário,Brasil,Brasileira,Taturana,Distribuição Nacional,438.0,3253.0
174,2019,Climax,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,10244.0,165276.0
175,2019,Colette,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Diamond Films,Distribuição Nacional,12853.0,194161.0
176,2019,"Com Amor, Simon",Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,273.0,2923.0
177,2019,Como Treinar O Seu Dragão 3,Animação,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,3940204.0,58484475.0
178,2019,Como Treinar Seu Dragão 2,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,509.0,5202.0
179,2019,Compra-Me Um Revólver,Ficção,México,Estrangeira,Pandora Filmes,Distribuição Nacional,2178.0,33813.0
180,2019,"Conquistar, Amar E Viver Intensamente",Ficção,França,Estrangeira,Imovision,Distribuição Nacional,4132.0,53723.0
181,2019,Coringa,Ficção,"Canadá, Estados Unidos",Estrangeira,Warner,Distribuição Internacional,9746101.0,156781766.0
182,2019,Creed Ii,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,675952.0,10549383.0
183,2019,Crime Sem Saída,Ficção,Estados Unidos,Estrangeira,Galeria Distribuidora,Distribuição Nacional,231238.0,3386306.0
184,2019,Crimes Obscuros,Ficção,"Estados Unidos, Polônia, Reino Unido",Estrangeira,Cinecolor Do Brasil,Distribuição Nacional,22378.0,344513.0
185,2019,Crítico,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,86.0,555.0
186,2019,Cubatão - A Volta Do Guará Vermelho,Documentário,Brasil,Brasileira,Raiz Distribuidora,Distribuição Nacional,143.0,715.0
187,2019,Culpa,Ficção,Dinamarca,Estrangeira,Califórnia,Distribuição Nacional,35358.0,581136.0
188,2019,Cyrano - Mon Amour,Ficção,"Bélgica, França",Estrangeira,A2 Filmes,Distribuição Nacional,12334.0,180515.0
189,2019,Cópias - De Volta À Vida,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,35467.0,598598.0
190,2019,D.P.A. - Detetives do Prédio Azul,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,14.0,152.0
191,2019,Dafne,Ficção,Itália,Estrangeira,Pagu Pictures,Distribuição Nacional,3244.0,48459.0
192,2019,De Peito Aberto,Documentário,Brasil,Brasileira,Pagu Pictures,Distribuição Nacional,1113.0,17936.0
193,2019,De Pernas Pro Ar 3,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,1838298.0,28463297.0
194,2019,De Repente Uma Família,Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,499.0,9654.0
195,2019,Deadpool 2,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,111.0,1948.0
196,2019,Depois Da Tempestade,Ficção,Japão,Estrangeira,Imovision,Distribuição Nacional,42.0,280.0
197,2019,Depois Do Casamento,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,36710.0,829117.0
198,2019,Depois Do Fim,Documentário,Brasil,Brasileira,Lança Filmes,Distribuição Nacional,584.0,6202.0
199,2019,Desafio De Um Campeão,Ficção,Itália,Estrangeira,Arteplex,Distribuição Nacional,1965.0,34225.0
200,2019,Deslembro,Ficção,Brasil,Brasileira,Imovision,Distribuição Nacional,16500.0,250186.0
